Restaurant_ID,Restaurant_Name,City,Cuisine,Popularity
1,Rest_1,Ahmedabad,Indian,1.2644459537196964
2,Rest_2,Mumbai,Chinese,4.504427110344625
3,Rest_3,Mumbai,Italian,1.9316466907271714
4,Rest_4,Gurgaon,Chinese,1.5784940772771696
5,Rest_5,Jaipur,Italian,1.0885128808830968
6,Rest_6,Jaipur,Chinese,1.0884973269355578
7,Rest_7,Delhi,Indian,1.0303714664927321
8,Rest_8,Mumbai,Chinese,2.7335890941086682
9,Rest_9,Delhi,Indian,1.5833471834996309
10,Rest_10,Kolkata,Indian,1.8508130533712097
11,Rest_11,Bangalore,Indian,1.0104539183482386
12,Rest_12,Noida,Italian,5.764847712953568
13,Rest_13,Kolkata,Chinese,2.442970633854936
14,Rest_14,Pune,Chinese,1.1267572450661902
15,Rest_15,Hyderabad,Chinese,1.1055461810817975
16,Rest_16,Delhi,Chinese,1.1066148948634897
17,Rest_17,Gurgaon,Indian,1.198866904820821
18,Rest_18,Bangalore,Indian,1.4505806367708411
19,Rest_19,Pune,Indian,1.3267980168327367
20,Rest_20,Delhi,Italian,1.187810262253085
21,Rest_21,Bangalore,Chinese,1.60509900004366
22,Rest_22,Pune,Indian,1.0780105556949393
23,Rest_23,Delhi,Indian,1.1885781442844963
24,Rest_24,Noida,Chinese,1.2562594423687363
25,Rest_25,Noida,Chinese,1.355902580881852
26,Rest_26,Noida,Indian,2.157538536616732
27,Rest_27,Bangalore,Indian,1.1178061067938079
28,Rest_28,Hyderabad,Chinese,1.4347843763191193
29,Rest_29,Delhi,Chinese,1.5663567176151074
30,Rest_30,Chennai,Chinese,1.0240669700089868
31,Rest_31,Ahmedabad,Indian,1.5962649760242102
32,Rest_32,Noida,Indian,1.097989330677541
33,Rest_33,Pune,Chinese,1.0342039138955947
34,Rest_34,Chennai,Chinese,4.423113663127404
35,Rest_35,Chennai,Indian,5.394150745597778
36,Rest_36,Noida,Chinese,2.2845425021134633
37,Rest_37,Bangalore,Indian,1.1991871232731455
38,Rest_38,Lucknow,Indian,1.0527319659588514
39,Rest_39,Noida,Italian,1.7795764410985562
40,Rest_40,Gurgaon,Italian,1.3364881916681854
41,Rest_41,Mumbai,Indian,1.0672402563948746
42,Rest_42,Gurgaon,Italian,1.4074416364573665
43,Rest_43,Chennai,Indian,1.017650827456628
44,Rest_44,Mumbai,Indian,3.3208190147553927
45,Rest_45,Chennai,Italian,1.1615192987058522
46,Rest_46,Lucknow,Chinese,1.7213827620714943
47,Rest_47,Ahmedabad,Chinese,1.20535398926787
48,Rest_48,Mumbai,Chinese,1.4434779547963743
49,Rest_49,Kolkata,Indian,1.4852927620579766
50,Rest_50,Chennai,Chinese,1.1075986569685643
51,Rest_51,Delhi,Indian,5.733943800807773
52,Rest_52,Bangalore,Indian,2.1088076407087213
53,Rest_53,Jaipur,Italian,4.065542578123296
54,Rest_54,Delhi,Chinese,3.0835329421860562
55,Rest_55,Gurgaon,Italian,1.577004570484954
56,Rest_56,Kolkata,Indian,3.5776912481955003
57,Rest_57,Bangalore,Indian,1.0474176243430569
58,Rest_58,Chennai,Indian,1.115237456061295
59,Rest_59,Kolkata,Indian,1.023410812743319
60,Rest_60,Jaipur,Indian,1.2174591747767853
61,Rest_61,Mumbai,Italian,1.2789828913156454
62,Rest_62,Chennai,Chinese,1.1714944267644936
63,Rest_63,Ahmedabad,Chinese,2.4164002497059993
64,Rest_64,Jaipur,Italian,1.246841432917052
65,Rest_65,Jaipur,Chinese,1.179276859947399
66,Rest_66,Delhi,Chinese,1.4787594718579702
67,Rest_67,Chennai,Chinese,1.078907628211568
68,Rest_68,Mumbai,Chinese,2.2484515917972785
69,Rest_69,Kolkata,Chinese,1.0394980312821323
70,Rest_70,Hyderabad,Indian,8.732687507081005
71,Rest_71,Delhi,Italian,2.095394598451375
72,Rest_72,Ahmedabad,Indian,1.1171376230627053
73,Rest_73,Mumbai,Indian,1.0027725466058461
74,Rest_74,Pune,Indian,2.327857667809593
75,Rest_75,Noida,Italian,1.8469727615247973
76,Rest_76,Pune,Chinese,1.9209722813371433
77,Rest_77,Jaipur,Italian,2.0909264871171387
78,Rest_78,Chennai,Italian,1.039213973574792
79,Rest_79,Lucknow,Chinese,1.248504376587497
80,Rest_80,Jaipur,Indian,1.0635103124309664
81,Rest_81,Kolkata,Indian,2.7027365204419618
82,Rest_82,Bangalore,Italian,1.6293001973561674
83,Rest_83,Mumbai,Chinese,1.222514007801587
84,Rest_84,Delhi,Italian,1.0333790180919031
85,Rest_85,Delhi,Chinese,1.204716386337849
86,Rest_86,Jaipur,Chinese,1.2173265558822866
87,Rest_87,Ahmedabad,Italian,1.9230988935335906
88,Rest_88,Mumbai,Chinese,1.661041274422515
89,Rest_89,Delhi,Indian,2.977624860964304
90,Rest_90,Kolkata,Indian,1.3764848876100815
91,Rest_91,Hyderabad,Chinese,1.065757908048413
92,Rest_92,Noida,Chinese,1.867430033804925
93,Rest_93,Jaipur,Indian,2.0445881519814546
94,Rest_94,Hyderabad,Chinese,1.509749506669703
95,Rest_95,Hyderabad,Indian,2.0895421674858854
96,Rest_96,Mumbai,Chinese,1.4055200346889047
97,Rest_97,Gurgaon,Italian,1.4475021552185448
98,Rest_98,Chennai,Italian,1.321684549645418
99,Rest_99,Pune,Indian,1.0129571122388845
100,Rest_100,Gurgaon,Italian,1.0587444422248369
101,Rest_101,Mumbai,Indian,1.0160949917944735
102,Rest_102,Kolkata,Italian,1.6584190606386235
103,Rest_103,Pune,Indian,1.2076766071963452
104,Rest_104,Noida,Chinese,1.4264924351417425
105,Rest_105,Hyderabad,Chinese,3.289161815268585
106,Rest_106,Gurgaon,Indian,1.1541560814444807
107,Rest_107,Lucknow,Italian,1.3023117929656902
108,Rest_108,Bangalore,Indian,2.0225813138580393
109,Rest_109,Gurgaon,Indian,1.1387174423123487
110,Rest_110,Jaipur,Chinese,1.0408650427264072
111,Rest_111,Gurgaon,Indian,1.186573986573338
112,Rest_112,Delhi,Indian,1.0918834919203357
113,Rest_113,Chennai,Italian,3.771508458083867
114,Rest_114,Jaipur,Italian,2.28289309576487
115,Rest_115,Bangalore,Italian,1.6516042615141378
116,Rest_116,Lucknow,Indian,2.789214082415403
117,Rest_117,Hyderabad,Italian,2.2568825770658583
118,Rest_118,Kolkata,Italian,1.108766058738682
119,Rest_119,Gurgaon,Indian,3.050808698788443
120,Rest_120,Gurgaon,Italian,1.47336654788846
121,Rest_121,Ahmedabad,Chinese,2.278857328555781
122,Rest_122,Noida,Italian,3.1022303627282097
123,Rest_123,Delhi,Chinese,1.210901784178883
124,Rest_124,Noida,Italian,1.0600288026455367
125,Rest_125,Gurgaon,Chinese,1.1380808433934144
126,Rest_126,Mumbai,Chinese,1.3211847162351593
127,Rest_127,Kolkata,Indian,2.3441312479957905
128,Rest_128,Gurgaon,Italian,2.679613280902079
129,Rest_129,Hyderabad,Italian,1.0034942954564618
130,Rest_130,Kolkata,Indian,1.4296620385610046
131,Rest_131,Mumbai,Italian,1.3101434833098564
132,Rest_132,Delhi,Indian,1.1338100298997627
133,Rest_133,Lucknow,Chinese,1.0659220463015064
134,Rest_134,Jaipur,Chinese,1.2286970388855043
135,Rest_135,Kolkata,Indian,4.185225399305966
136,Rest_136,Noida,Italian,1.2155442287980336
137,Rest_137,Ahmedabad,Indian,1.4415607818172016
138,Rest_138,Hyderabad,Italian,1.8349981777246
139,Rest_139,Lucknow,Indian,1.2535596816428591
140,Rest_140,Gurgaon,Italian,5.953022472466191
141,Rest_141,Hyderabad,Chinese,5.1603527123847925
142,Rest_142,Pune,Italian,1.1560750005291676
143,Rest_143,Gurgaon,Indian,1.4103383487162036
144,Rest_144,Ahmedabad,Italian,1.195979159296836
145,Rest_145,Jaipur,Chinese,1.1824929012451002
146,Rest_146,Jaipur,Chinese,1.0189699242942245
147,Rest_147,Mumbai,Chinese,1.6003878970053265
148,Rest_148,Chennai,Italian,1.4180175667251356
149,Rest_149,Jaipur,Italian,1.0267777943299616
150,Rest_150,Pune,Chinese,1.1774051133335108
151,Rest_151,Bangalore,Italian,3.301676849227949
152,Rest_152,Chennai,Italian,1.1467481899435852
153,Rest_153,Hyderabad,Chinese,1.0814096596778051
154,Rest_154,Gurgaon,Indian,1.3995294244657641
155,Rest_155,Lucknow,Chinese,8.347970799520725
156,Rest_156,Noida,Chinese,1.1486328473649814
157,Rest_157,Mumbai,Italian,1.746436637926625
