Menu_ID,Item_Name,Selling_Price
1,Item_1,115.60
2,Item_2,161.31
3,Item_3,137.82
4,Item_4,268.87
5,Item_5,232.44
6,Item_6,472.79
7,Item_7,293.27
8,Item_8,479.05
9,Item_9,403.35
10,Item_10,116.05
11,Item_11,453.72
12,Item_12,366.19
13,Item_13,322.05
14,Item_14,200.63
15,Item_15,494.07
16,Item_16,482.90
17,Item_17,222.13
18,Item_18,301.92
19,Item_19,164.87
20,Item_20,284.18
21,Item_21,154.39
22,Item_22,444.82
23,Item_23,391.41
24,Item_24,123.73
25,Item_25,466.96
26,Item_26,354.44
27,Item_27,357.73
28,Item_28,173.03
29,Item_29,207.11
30,Item_30,325.61
31,Item_31,289.72
32,Item_32,194.29
33,Item_33,383.50
34,Item_34,299.54
35,Item_35,491.39
36,Item_36,482.93
37,Item_37,347.76
38,Item_38,450.56
39,Item_39,176.07
40,Item_40,351.45
41,Item_41,235.78
42,Item_42,289.04
43,Item_43,373.78
44,Item_44,106.36
45,Item_45,380.01
46,Item_46,201.97
47,Item_47,457.71
48,Item_48,344.96
49,Item_49,330.13
50,Item_50,260.35
51,Item_51,269.48
52,Item_52,385.55
53,Item_53,419.96
54,Item_54,223.33
55,Item_55,253.65
56,Item_56,313.49
57,Item_57,206.63
58,Item_58,370.93
59,Item_59,199.38
60,Item_60,322.89
61,Item_61,227.64
62,Item_62,403.52
63,Item_63,418.43
64,Item_64,238.72
65,Item_65,384.05
66,Item_66,341.12
67,Item_67,321.23
68,Item_68,321.14
69,Item_69,364.61
70,Item_70,262.10
71,Item_71,415.61
72,Item_72,162.21
73,Item_73,199.57
74,Item_74,489.32
75,Item_75,446.61
76,Item_76,432.17
77,Item_77,442.76
78,Item_78,457.98
79,Item_79,475.63
80,Item_80,352.31
81,Item_81,122.61
82,Item_82,141.74
83,Item_83,269.65
84,Item_84,198.34
85,Item_85,411.82
86,Item_86,146.68
87,Item_87,376.46
88,Item_88,153.28
89,Item_89,249.76
90,Item_90,375.89
91,Item_91,202.17
92,Item_92,375.61
93,Item_93,237.35
94,Item_94,488.92
95,Item_95,266.24
96,Item_96,260.46
97,Item_97,419.88
98,Item_98,311.27
99,Item_99,267.84
100,Item_100,454.76
101,Item_101,177.98
102,Item_102,283.75
103,Item_103,213.32
104,Item_104,206.54
105,Item_105,245.23
106,Item_106,386.64
107,Item_107,396.08
108,Item_108,453.61
109,Item_109,477.32
110,Item_110,181.35
111,Item_111,448.51
112,Item_112,473.61
113,Item_113,133.62
114,Item_114,142.10
115,Item_115,235.81
116,Item_116,455.76
117,Item_117,205.99
118,Item_118,496.65
119,Item_119,232.98
120,Item_120,356.62
121,Item_121,166.68
122,Item_122,425.18
123,Item_123,352.71
124,Item_124,312.59
125,Item_125,219.71
126,Item_126,442.52
127,Item_127,407.31
128,Item_128,251.43
129,Item_129,302.27
130,Item_130,459.69
131,Item_131,129.84
132,Item_132,349.62
133,Item_133,149.21
134,Item_134,463.94
135,Item_135,209.24
136,Item_136,296.45
137,Item_137,344.18
138,Item_138,460.83
139,Item_139,364.25
140,Item_140,215.31
141,Item_141,334.65
142,Item_142,451.38
143,Item_143,496.28
144,Item_144,169.41
145,Item_145,276.37
146,Item_146,181.72
147,Item_147,185.76
148,Item_148,462.97
149,Item_149,347.33
150,Item_150,452.86
151,Item_151,249.86
152,Item_152,358.06
153,Item_153,424.79
154,Item_154,244.05
155,Item_155,441.63
156,Item_156,124.46
157,Item_157,226.43
158,Item_158,147.69
159,Item_159,247.43
160,Item_160,477.55
161,Item_161,130.12
162,Item_162,311.61
163,Item_163,442.65
164,Item_164,292.04
165,Item_165,327.53
166,Item_166,466.96
167,Item_167,459.07
168,Item_168,119.49
169,Item_169,483.14
170,Item_170,425.11
171,Item_171,323.08
172,Item_172,204.03
173,Item_173,396.06
174,Item_174,499.06
175,Item_175,110.28
176,Item_176,301.27
177,Item_177,156.13
178,Item_178,261.80
179,Item_179,219.94
180,Item_180,480.06
181,Item_181,397.11
182,Item_182,314.03
183,Item_183,372.22
184,Item_184,491.39
185,Item_185,475.91
186,Item_186,223.42
187,Item_187,397.91
188,Item_188,495.11
189,Item_189,354.28
190,Item_190,468.37
191,Item_191,352.76
192,Item_192,105.30
193,Item_193,268.29
194,Item_194,397.38
195,Item_195,255.70
196,Item_196,390.16
197,Item_197,251.05
198,Item_198,445.97
199,Item_199,350.66
200,Item_200,196.94
201,Item_201,278.35
202,Item_202,223.80
203,Item_203,140.98
204,Item_204,424.82
205,Item_205,419.59
206,Item_206,418.32
207,Item_207,307.55
208,Item_208,296.43
209,Item_209,482.30
210,Item_210,351.53
211,Item_211,254.30
212,Item_212,103.58
213,Item_213,131.01
214,Item_214,409.10
215,Item_215,275.11
216,Item_216,240.00
217,Item_217,103.60
218,Item_218,142.99
219,Item_219,165.88
220,Item_220,100.89
221,Item_221,390.86
222,Item_222,176.40
223,Item_223,266.13
224,Item_224,100.66
225,Item_225,201.73
226,Item_226,121.08
227,Item_227,464.15
228,Item_228,292.24
229,Item_229,323.17
230,Item_230,424.54
231,Item_231,316.45
232,Item_232,415.68
233,Item_233,484.90
234,Item_234,304.57
235,Item_235,190.73
236,Item_236,153.47
237,Item_237,470.20
238,Item_238,124.03
239,Item_239,256.44
240,Item_240,131.98
241,Item_241,399.01
242,Item_242,346.84
243,Item_243,218.14
244,Item_244,248.77
245,Item_245,440.19
246,Item_246,347.39
247,Item_247,405.14
248,Item_248,347.15
249,Item_249,425.77
250,Item_250,400.98
251,Item_251,281.06
252,Item_252,450.04
253,Item_253,165.57
254,Item_254,472.57
255,Item_255,358.93
256,Item_256,214.37
257,Item_257,211.31
258,Item_258,207.87
259,Item_259,202.96
260,Item_260,105.54
261,Item_261,290.27
262,Item_262,436.88
263,Item_263,167.83
264,Item_264,382.22
265,Item_265,313.30
266,Item_266,269.26
267,Item_267,387.36
268,Item_268,241.59
269,Item_269,247.29
270,Item_270,307.53
271,Item_271,470.64
272,Item_272,228.82
273,Item_273,339.59
274,Item_274,446.86
275,Item_275,209.30
276,Item_276,490.11
277,Item_277,363.88
278,Item_278,379.01
279,Item_279,185.34
280,Item_280,401.41
281,Item_281,295.91
282,Item_282,405.95
283,Item_283,301.54
284,Item_284,337.21
285,Item_285,111.49
286,Item_286,225.76
287,Item_287,291.14
288,Item_288,287.69
289,Item_289,428.32
290,Item_290,356.52
291,Item_291,439.45
292,Item_292,183.59
293,Item_293,277.43
294,Item_294,106.35
295,Item_295,224.75
296,Item_296,350.29
297,Item_297,116.14
298,Item_298,334.65
299,Item_299,342.10
300,Item_300,391.91
301,Item_301,314.19
302,Item_302,226.58
303,Item_303,408.75
304,Item_304,426.92
305,Item_305,191.95
306,Item_306,122.27
307,Item_307,194.55
308,Item_308,489.23
309,Item_309,273.46
310,Item_310,110.17
311,Item_311,153.35
312,Item_312,242.23
313,Item_313,320.62
314,Item_314,263.93
315,Item_315,353.09
316,Item_316,253.23
317,Item_317,386.67
318,Item_318,441.84
319,Item_319,267.66
320,Item_320,242.89
321,Item_321,370.61
322,Item_322,462.88
323,Item_323,257.12
324,Item_324,462.70
325,Item_325,230.66
326,Item_326,132.76
327,Item_327,168.57
328,Item_328,122.78
329,Item_329,300.16
330,Item_330,151.81
331,Item_331,166.08
332,Item_332,154.71
333,Item_333,224.32
334,Item_334,362.16
335,Item_335,465.95
336,Item_336,310.56
337,Item_337,450.58
338,Item_338,152.26
339,Item_339,210.97
340,Item_340,332.97
341,Item_341,124.35
342,Item_342,239.62
343,Item_343,414.47
344,Item_344,353.28
345,Item_345,228.66
346,Item_346,249.40
347,Item_347,234.55
348,Item_348,420.44
349,Item_349,356.36
350,Item_350,288.25
351,Item_351,281.26
352,Item_352,391.96
353,Item_353,336.28
354,Item_354,115.23
355,Item_355,278.90
356,Item_356,457.80
357,Item_357,468.46
358,Item_358,470.61
359,Item_359,409.38
360,Item_360,229.10
361,Item_361,458.42
362,Item_362,294.34
363,Item_363,443.89
364,Item_364,324.05
365,Item_365,399.79
366,Item_366,390.70
367,Item_367,390.97
368,Item_368,399.96
369,Item_369,232.10
370,Item_370,168.19
371,Item_371,477.27
372,Item_372,475.28
373,Item_373,397.79
374,Item_374,431.78
375,Item_375,267.72
376,Item_376,417.24
377,Item_377,438.28
378,Item_378,120.55
379,Item_379,363.87
380,Item_380,422.17
381,Item_381,409.14
382,Item_382,440.84
383,Item_383,440.77
384,Item_384,335.60
385,Item_385,353.81
386,Item_386,170.06
387,Item_387,209.50
388,Item_388,374.26
389,Item_389,439.00
390,Item_390,271.24
391,Item_391,450.95
392,Item_392,183.61
393,Item_393,349.67
394,Item_394,298.54
395,Item_395,371.46
396,Item_396,333.92
397,Item_397,474.23
398,Item_398,346.62
399,Item_399,156.88
400,Item_400,427.97
401,Item_401,365.91
402,Item_402,235.77
403,Item_403,115.22
404,Item_404,100.37
405,Item_405,324.11
406,Item_406,403.84
407,Item_407,237.00
408,Item_408,385.80
409,Item_409,476.54
410,Item_410,213.15
