Rider_ID,Rating
1,3.8
2,4.7
3,4.6
4,3.7
5,3.6
6,4.1
7,3.8
8,4.0
9,3.8
10,4.7
11,4.3
12,4.6
13,3.7
14,4.5
15,3.8
16,4.9
17,3.6
18,4.0
19,4.6
20,3.6
21,5.0
22,4.3
23,4.0
24,4.7
25,4.2
26,3.7
27,3.9
28,4.1
29,4.7
30,4.1
31,4.1
32,3.9
33,3.7
34,4.4
35,3.7
36,4.7
37,4.0
38,4.3
39,4.2
40,3.7
41,4.9
42,5.0
43,4.9
44,4.3
45,3.9
46,5.0
47,4.5
48,4.2
49,4.8
50,4.8
51,4.2
52,3.6
53,4.4
54,3.6
55,4.4
56,4.7
57,4.9
58,4.0
59,4.5
60,3.7
61,4.6
62,4.7
63,4.0
64,4.4
65,4.2
66,4.7
67,3.7
68,4.3
69,4.3
70,4.3
71,4.6
72,4.4
73,3.6
74,4.5
75,4.7
76,4.4
77,4.9
78,4.7
79,4.0
80,3.6
81,4.5
82,4.0
83,4.4
84,4.6
85,4.6
86,3.9
87,4.8
88,4.1
89,5.0
90,5.0
91,4.1
92,4.7
93,3.7
94,4.7
95,3.5
96,3.9
97,5.0
98,3.8
99,4.8
100,5.0
101,4.8
102,4.6
103,4.1
104,4.3
105,4.0
106,4.2
107,3.5
108,3.6
109,4.4
110,4.6
111,4.4
112,4.0
113,3.6
114,4.8
115,4.0
116,4.2
117,3.6
118,4.9
119,4.5
120,3.8
121,4.2
122,4.6
123,4.9
124,4.9
125,4.6
126,4.9
127,4.5
128,3.6
129,4.5
130,4.5
131,4.2
132,4.9
133,3.5
134,4.5
135,3.9
136,4.6
137,4.1
138,4.5
139,3.7
140,3.6
141,4.5
142,3.5
143,4.2
144,4.4
145,4.7
146,4.6
147,4.1
148,3.9
149,4.2
150,4.8
151,4.2
152,3.9
153,3.8
154,4.3
155,4.9
156,4.8
157,4.8
158,4.6
159,4.6
160,4.2
161,4.8
162,4.0
163,3.6
164,4.0
165,3.6
166,4.9
167,4.1
168,4.9
169,3.6
170,4.0
171,4.2
172,4.5
173,4.0
174,4.1
175,4.1
176,4.8
177,4.1
178,5.0
179,4.8
180,5.0
181,4.3
182,4.1
183,4.6
184,4.1
185,4.1
186,3.5
187,4.4
188,4.1
189,3.7
190,4.1
191,4.8
192,3.6
193,3.8
194,4.0
195,5.0
196,3.8
197,3.9
198,4.1
199,3.6
200,3.7
201,4.1
202,4.1
203,4.4
204,3.6
205,3.7
206,4.6
207,4.9
208,4.2
209,4.6
210,4.0
211,4.8
212,4.5
213,4.1
214,4.2
215,4.0
216,4.2
217,4.6
218,4.3
219,4.4
220,4.1
221,3.8
222,4.4
223,4.9
224,3.6
225,3.7
226,4.4
227,3.9
228,3.8
229,4.4
230,4.7
231,3.8
232,4.6
233,4.7
234,4.6
235,4.1
236,3.7
237,3.5
238,3.7
239,4.2
240,4.1
241,4.9
242,4.6
243,3.7
244,4.1
245,5.0
246,4.6
247,3.6
248,4.7
249,4.8
250,3.9
251,5.0
252,4.5
253,4.8
254,4.0
255,4.0
256,4.7
257,3.5
258,4.7
259,3.8
260,3.5
261,3.8
262,4.1
263,3.8
264,4.6
265,4.2
266,4.1
267,4.4
268,3.9
269,4.6
270,4.3
271,4.7
272,3.5
273,3.9
274,3.5
275,5.0
276,3.6
277,4.8
278,3.7
279,3.8
280,3.8
281,3.7
282,4.7
283,3.8
284,4.2
285,4.8
286,5.0
287,3.8
288,4.7
289,3.7
290,4.6
291,4.7
292,4.8
293,3.6
294,4.3
295,4.5
296,3.7
297,4.9
298,4.8
299,4.3
300,4.5
301,4.1
302,4.7
303,4.6
304,4.4
305,4.3
306,5.0
307,4.9
308,4.5
309,4.3
310,3.8
311,4.5
312,4.5
313,3.6
314,3.7
315,4.5
316,3.7
317,4.6
318,4.2
319,4.7
320,3.5
321,4.9
322,4.5
323,4.1
324,4.1
325,4.1
326,4.6
327,4.4
328,4.2
329,4.3
330,4.5
331,3.7
332,4.9
333,4.0
334,4.3
335,4.0
336,3.8
337,5.0
338,4.2
339,3.6
340,3.8
341,4.5
342,3.9
343,5.0
344,4.7
345,4.2
346,3.8
347,4.4
348,3.8
349,4.6
350,4.5
351,3.7
352,3.9
353,4.0
354,4.8
355,4.2
356,4.5
357,4.1
358,4.7
359,4.4
360,4.0
361,4.7
362,4.7
363,4.6
364,3.6
365,4.1
366,4.2
367,3.6
368,4.7
369,3.7
370,4.8
371,4.1
372,3.7
373,4.8
374,4.4
375,4.7
376,4.4
377,4.3
378,3.7
379,4.6
380,4.9
381,3.9
382,4.3
383,3.8
384,3.5
385,4.6
386,4.0
387,3.9
388,4.2
389,4.2
390,3.9
391,3.6
392,4.1
393,3.6
394,4.8
395,4.2
396,4.8
397,3.7
398,4.9
399,3.7
400,3.7
401,4.9
402,4.6
403,3.7
404,4.4
405,4.0
406,3.9
407,4.9
408,4.5
409,3.5
410,4.8
411,3.7
412,4.0
413,4.8
414,4.4
415,3.9
416,4.5
417,4.6
418,3.9
419,4.8
420,4.2
421,4.8
422,5.0
423,4.8
424,3.6
425,4.8
426,4.9
427,4.3
428,4.2
429,4.4
430,3.5
431,4.6
432,4.8
433,3.6
434,4.8
435,4.8
436,4.5
437,4.4
438,4.6
439,4.6
440,4.3
441,3.7
442,3.8
443,4.5
444,5.0
445,4.7
446,4.0
447,4.9
448,4.4
449,3.8
450,4.7
451,4.9
452,4.4
453,3.9
454,3.7
455,4.2
456,4.1
457,3.7
458,4.7
459,4.5
460,4.1
461,4.6
462,4.2
463,3.6
464,4.9
465,3.7
466,4.5
467,3.5
468,4.8
469,3.8
470,4.5
471,3.8
472,4.9
473,3.7
474,3.6
475,3.5
476,4.9
477,4.4
478,4.1
479,4.2
480,5.0
481,4.2
482,4.9
483,3.8
484,4.2
485,3.9
486,3.9
487,3.8
488,4.8
489,4.0
490,4.2
491,4.2
492,3.7
493,4.4
494,3.5
495,4.1
496,4.8
497,4.2
498,3.9
499,4.8
500,3.8
